,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,yr_built,zipcode,lat,long
54,2014-10-06,1443920,4,3,3720,5000,2,No,No View,Very Good,9,1905,98102,47.6282,-122.322
55,2014-08-28,1442500,2,2,2720,16637,1,No,Good,Average,10,1953,98118,47.5499,-122.264
56,2015-04-23,1442500,3,2,2630,9705,2,No,Average,Good,8,1987,98052,47.6485,-122.121
57,2014-10-14,1440000,4,2,2410,6000,2,No,No View,Average,8,1911,98109,47.6369,-122.355
58,2014-06-19,1440000,3,4,3870,3819,2,No,No View,Average,11,2002,98102,47.6452,-122.317
59,2014-12-01,1438890,5,4,3420,8000,2,No,No View,Average,10,2006,98040,47.5736,-122.212
60,2014-09-02,1437500,4,4,4410,9231,3,No,Good,Average,11,2001,98118,47.5427,-122.265
61,2015-03-30,1436000,4,4,4970,16582,2,No,Good,Good,11,1992,98006,47.5496,-122.12
62,2014-11-06,1430800,4,2,2910,7364,2,No,No View,Average,10,2003,98033,47.6906,-122.213
63,2014-09-11,1430000,4,2,3380,27589,2,No,No View,Average,10,1966,98004,47.6292,-122.225
64,2015-03-03,1430000,3,2,1890,12017,1,No,Average,Average,8,1949,98004,47.6203,-122.21
65,2015-03-04,1430000,3,3,2710,9204,2,No,Excellent,Average,9,1975,98177,47.7039,-122.385
66,2014-10-29,1430000,5,4,3350,3600,2,No,No View,Average,10,2014,98119,47.6351,-122.364
67,2015-03-24,1425000,4,5,4630,24054,2,No,Good,Average,11,2005,98075,47.587,-121.966
68,2014-12-29,1425000,5,3,2840,6240,2,No,No View,Very Good,9,1905,98112,47.6285,-122.309
69,2014-05-29,1425000,4,4,4960,6000,2,No,No View,Average,11,1909,98109,47.6437,-122.356
70,2014-05-05,1425000,2,2,2220,4000,2,No,No View,Average,9,2000,98112,47.6364,-122.28
71,2015-04-01,1420000,5,3,3950,11438,2,No,Average,Average,10,2006,98033,47.6898,-122.189
72,2014-10-28,1419000,5,3,4020,4500,2,No,No View,Average,9,2010,98004,47.6349,-122.204
73,2014-06-05,1415000,4,5,4670,43950,2,No,No View,Average,12,1989,98006,47.5456,-122.126
74,2014-10-09,1415000,4,3,3600,38016,2,No,Average,Average,11,1991,98034,47.7124,-122.253
75,2014-08-11,1415000,4,3,3110,4408,2,No,Good,Good,10,1931,98105,47.6583,-122.27
76,2014-07-02,1411600,2,2,3180,9400,2,No,Excellent,Very Good,10,1985,98006,47.5617,-122.158
77,2015-04-20,1410000,2,2,2180,18525,1,Yes,Excellent,Very Good,9,1952,98146,47.5036,-122.387
78,2014-06-26,1410000,4,2,3250,16684,2,No,No View,Average,9,1979,98039,47.6334,-122.229
79,2014-08-25,1408760,4,4,4920,50621,2,No,No View,Average,10,2012,98053,47.6575,-122.006
80,2014-12-05,1406890,5,2,3580,16789,2,No,No View,Very Good,9,1966,98040,47.5364,-122.239
81,2014-05-19,1405000,4,4,3410,10769,2,No,No View,Average,10,2008,98004,47.6081,-122.198
82,2015-04-27,1400000,4,4,4380,66613,2,No,No View,Average,11,1993,98077,47.7279,-122.048
83,2015-03-24,1400000,5,3,4140,32700,1,No,Excellent,Average,10,1973,98177,47.7633,-122.369
84,2015-04-09,1400000,5,4,4700,22326,2,No,No View,Average,11,2002,98006,47.5417,-122.111
85,2015-04-08,1400000,3,3,3130,19530,1,Yes,Excellent,Average,8,1947,98008,47.5895,-122.111
86,2014-08-05,1400000,5,3,3850,14990,1,No,No View,Good,9,1964,98004,47.6425,-122.218
87,2014-12-09,1400000,4,3,4290,12103,1,No,Good,Average,11,1997,98006,47.5503,-122.102
88,2014-10-31,1400000,4,4,3080,10550,2,No,Good,Average,8,1976,98040,47.5806,-122.244
89,2014-08-04,1400000,4,2,4040,9630,1,No,Good,Good,9,1951,98199,47.6408,-122.41
90,2014-10-09,1400000,5,3,4300,9270,2,No,Good,Average,10,1957,98116,47.5717,-122.409
91,2014-05-28,1400000,4,3,4700,9160,1,No,Excellent,Average,11,2005,98116,47.5744,-122.406
92,2015-04-02,1400000,4,2,2770,8879,2,No,No View,Average,9,2001,98004,47.5831,-122.193
93,2014-05-13,1400000,5,4,3530,7924,2,No,No View,Average,10,2001,98040,47.5894,-122.243
94,2014-12-11,1400000,5,4,3700,7920,3,No,Excellent,Average,9,1983,98115,47.6865,-122.266
95,2015-03-25,1400000,4,2,3520,7815,2,No,Good,Average,10,1929,98199,47.6429,-122.412
96,2014-08-29,1400000,4,2,4070,7800,3,No,No View,Good,8,2002,98115,47.6838,-122.327
97,2014-05-14,1400000,3,2,2550,7200,2,No,Average,Average,10,1981,98144,47.5996,-122.288
98,2014-05-28,1400000,4,3,2980,7000,2,No,Good,Average,10,1900,98144,47.5933,-122.292
99,2014-10-22,1400000,5,4,4230,6907,2,No,No View,Average,10,2008,98033,47.6866,-122.205
100,2015-01-30,1400000,3,3,3020,6073,2,No,No View,Good,9,1954,98112,47.6332,-122.29
101,2014-06-18,1400000,3,2,2020,5500,2,No,Good,Average,10,1937,98199,47.6388,-122.409
102,2014-08-22,1400000,4,2,3780,5160,2,No,No View,Good,9,1907,98112,47.6275,-122.308
103,2014-05-02,1400000,4,2,2920,4000,2,No,No View,Very Good,8,1909,98105,47.6578,-122.28
104,2014-06-18,1399950,4,3,3870,10046,2,No,No View,Average,11,2005,98033,47.6651,-122.191
105,2014-10-10,1399000,3,2,2560,3600,2,No,No View,Average,9,1967,98112,47.632,-122.279
106,2015-04-02,1398000,5,2,2640,14959,1,No,No View,Good,7,1929,98039,47.6191,-122.234
107,2015-02-27,1398000,3,2,2910,10044,2,No,No View,Good,10,1989,98004,47.5845,-122.199
108,2014-07-29,1395710,4,2,3960,8640,2,No,Average,Average,9,1925,98112,47.6317,-122.304
109,2014-10-28,1395000,4,3,3520,128502,2,No,Average,Good,10,1981,98072,47.7448,-122.117
110,2014-08-15,1395000,4,4,3560,16782,2,No,No View,Average,10,2014,98040,47.5569,-122.225
111,2014-05-05,1395000,5,4,4010,8510,2,No,Fair,Very Good,9,1971,98105,47.6578,-122.286
112,2014-12-12,1393000,3,4,4240,21578,2,No,No View,Average,10,1994,98040,47.5614,-122.215
113,2015-03-13,1389000,4,4,3130,3900,2,No,No View,Average,9,2008,98115,47.6849,-122.327
114,2015-04-28,1388000,4,2,2940,20384,2,No,No View,Good,9,1970,98004,47.6214,-122.227
115,2014-06-26,1388000,4,3,4040,20001,1,No,No View,Average,9,1972,98004,47.6408,-122.212
116,2014-09-22,1388000,4,2,3450,17400,2,No,No View,Good,9,1964,98004,47.5969,-122.206
117,2015-03-27,1388000,5,2,2650,11340,1,No,No View,Average,8,1955,98004,47.626,-122.213
118,2014-11-18,1388000,3,1,2400,6653,3,No,Average,Average,11,1992,98122,47.6019,-122.29
119,2014-06-26,1387800,3,3,2480,5500,2,No,Good,Average,10,1950,98199,47.6466,-122.404
120,2015-04-21,1387000,4,4,4490,24767,2,No,Average,Average,11,1998,98006,47.5544,-122.147
121,2015-04-21,1387000,4,4,4010,10880,2,No,Good,Good,11,1990,98040,47.5359,-122.213
122,2015-04-10,1385000,4,3,4860,181319,2,No,No View,Average,9,1993,98074,47.6179,-122.005
123,2014-05-30,1385000,6,3,5700,20000,1,No,Excellent,Good,10,1977,98006,47.5601,-122.16
124,2014-08-11,1385000,4,4,4010,15365,2,No,Fair,Average,11,2006,98027,47.5528,-122.093
125,2014-07-30,1385000,4,4,3230,7200,1,No,Fair,Average,10,2000,98033,47.6838,-122.212
126,2014-11-10,1385000,5,4,3290,6480,2,No,No View,Very Good,10,1938,98199,47.653,-122.415
127,2014-08-22,1385000,3,2,2930,6000,2,No,Average,Average,11,2000,98112,47.6301,-122.301
128,2014-09-11,1385000,3,3,2490,3600,2,No,Good,Good,8,1911,98119,47.6313,-122.369
129,2014-06-18,1384000,4,3,4290,12103,1,No,Good,Average,11,1997,98006,47.5503,-122.102
130,2014-05-27,1381000,4,4,3160,9525,2,No,No View,Average,10,1997,98040,47.5623,-122.221
131,2015-05-12,1380000,5,4,4050,18827,1,No,Average,Good,10,1979,98040,47.5323,-122.237
132,2015-03-05,1380000,6,4,5740,10312,2,No,Average,Average,11,2000,98006,47.5533,-122.11
133,2014-07-23,1379900,3,3,3786,38038,1,Yes,Excellent,Average,9,1978,98070,47.3907,-122.448
134,2015-01-14,1378600,5,3,3450,6360,2,No,No View,Very Good,9,1905,98122,47.6133,-122.287
135,2014-12-09,1378000,5,4,5150,12230,2,No,Average,Average,10,2007,98008,47.6249,-122.09
136,2015-04-03,1378000,5,4,3680,8680,2,No,No View,Average,9,2003,98033,47.6575,-122.197
137,2014-07-15,1375000,5,4,3760,22763,1,No,Good,Good,11,1969,98040,47.5333,-122.22
138,2014-12-24,1375000,5,4,4350,13405,2,No,No View,Average,11,2014,98074,47.6018,-122.06
139,2014-10-22,1375000,3,2,1850,10572,1,No,No View,Good,8,1953,98004,47.6194,-122.208
140,2014-10-24,1375000,4,4,3500,9523,2,No,No View,Average,10,1996,98033,47.6848,-122.208
141,2014-10-29,1375000,5,4,3330,5042,2,No,Average,Average,9,2014,98103,47.6497,-122.339
142,2015-01-21,1375000,4,4,3130,4500,2,No,No View,Average,9,2014,98103,47.677,-122.33
143,2014-06-06,1370000,2,2,2460,16940,2,No,Excellent,Good,9,1936,98117,47.6792,-122.404
144,2015-04-14,1370000,5,2,3510,13843,1,No,Average,Average,8,1959,98040,47.5817,-122.246
145,2014-05-09,1370000,4,3,3720,9450,1,No,Excellent,Very Good,10,1962,98006,47.5627,-122.156
146,2014-10-07,1365000,4,5,5310,57346,2,No,No View,Good,11,1989,98077,47.7285,-122.042
147,2014-06-11,1365000,5,4,4210,17258,2,No,Good,Average,12,1995,98006,47.553,-122.114
148,2014-05-30,1365000,3,2,2090,6000,2,No,No View,Good,9,1928,98105,47.6567,-122.281
149,2014-07-14,1365000,2,3,2700,3444,3,Yes,Good,Average,9,1990,98075,47.5684,-122.06
150,2015-02-23,1364000,4,2,3560,8960,2,No,No View,Average,10,2001,98033,47.6903,-122.213
151,2014-10-09,1362500,3,2,2310,21318,1,No,No View,Average,10,1979,98004,47.6381,-122.224
152,2014-07-07,1360000,4,3,5430,108900,2,No,No View,Good,10,1987,98053,47.6582,-122.038
153,2015-02-24,1360000,2,2,2620,14138,2,Yes,Excellent,Average,8,1931,98125,47.7142,-122.277
154,2015-03-23,1360000,4,4,4120,12626,2,No,Fair,Average,11,2014,98034,47.7089,-122.245
155,2014-07-01,1356920,4,4,4270,5800,2,No,Good,Very Good,10,1937,98199,47.6474,-122.411
156,2015-04-24,1355000,3,2,3600,21399,1,No,Good,Average,9,1950,98008,47.6191,-122.099
157,2014-08-14,1355000,5,4,4960,13990,2,No,Average,Average,11,2001,98006,47.5491,-122.137
158,2014-05-29,1355000,5,4,5960,13703,2,No,Average,Average,10,1984,98008,47.6151,-122.107
159,2014-07-09,1355000,4,4,3550,11000,1,No,Average,Average,11,1999,98006,47.5506,-122.134
160,2014-06-25,1355000,3,2,2680,4775,2,No,Average,Very Good,8,1913,98109,47.6333,-122.347
161,2015-04-23,1350000,4,5,5230,89298,2,No,No View,Average,11,2002,98038,47.4097,-122.063
162,2015-03-11,1350000,3,2,2753,65005,1,Yes,Average,Very Good,9,1953,98070,47.4041,-122.451
163,2014-08-05,1350000,4,4,4100,61419,2,No,No View,Average,9,2014,98029,47.5626,-122.005
164,2015-04-23,1350000,5,3,5530,38816,2,No,Average,Average,10,1969,98072,47.7352,-122.116
165,2014-09-03,1350000,4,3,5370,20388,2,No,Excellent,Good,11,1990,98198,47.405,-122.331
166,2014-06-09,1350000,4,3,3300,15907,2,No,No View,Very Good,10,1985,98040,47.5413,-122.216
167,2014-07-28,1350000,5,4,4800,14984,2,No,Average,Average,11,1998,98006,47.5543,-122.148
168,2015-03-03,1350000,4,4,4680,12495,2,No,No View,Average,10,2008,98033,47.6984,-122.206
169,2015-03-17,1350000,4,2,2240,10296,1,No,No View,Very Good,8,1948,98004,47.6177,-122.217
170,2014-08-01,1350000,3,2,2070,9600,1,No,Fair,Average,7,1946,98039,47.616,-122.239
171,2014-09-26,1350000,4,4,3500,9525,2,No,No View,Average,10,1999,98040,47.5641,-122.221
172,2015-01-28,1350000,4,4,3420,7440,3,No,No View,Average,9,2014,98103,47.6875,-122.33
173,2014-07-21,1350000,3,2,2390,5500,1,No,Good,Average,9,1952,98199,47.6389,-122.409
174,2014-11-12,1350000,4,4,3600,5217,2,No,No View,Average,9,1947,98112,47.6189,-122.286
175,2014-09-09,1350000,4,3,3030,5164,2,No,No View,Very Good,9,1925,98112,47.6394,-122.299
176,2015-05-07,1350000,4,2,2000,3728,2,No,No View,Good,9,1926,98112,47.643,-122.299
177,2015-04-30,1349000,4,4,4740,8611,2,No,Good,Average,11,2006,98027,47.5375,-122.07
178,2015-04-29,1348000,4,4,4640,9827,2,No,Average,Average,10,2007,98027,47.5524,-122.078
179,2014-10-31,1348000,5,3,3540,5971,1,No,Average,Average,10,2005,98033,47.6643,-122.202
180,2014-05-12,1346400,5,2,3380,20021,1,No,No View,Good,8,1963,98004,47.6395,-122.211
181,2015-03-25,1345000,4,3,3440,4920,2,No,Excellent,Average,10,2014,98116,47.5727,-122.409
182,2014-05-07,1340000,3,3,2960,5500,2,No,Average,Average,10,1937,98199,47.6356,-122.402
183,2014-06-26,1340000,4,4,3190,5040,2,No,Good,Average,10,2003,98144,47.5928,-122.29
184,2014-07-21,1340000,4,3,2760,4905,2,No,Fair,Good,9,1938,98105,47.6591,-122.27
185,2014-10-21,1339000,4,4,2130,34689,2,Yes,Excellent,Average,9,1955,98136,47.5489,-122.398
186,2014-06-09,1339000,4,2,4250,19387,2,No,Average,Good,9,1972,98040,47.5578,-122.212
187,2015-01-30,1339000,4,4,2980,6349,2,No,Good,Average,9,1998,98033,47.6819,-122.208
188,2014-09-05,1338750,3,3,2730,38869,2,Yes,Excellent,Average,9,1963,98146,47.4857,-122.361
189,2014-10-30,1337500,4,2,2900,21074,2,No,No View,Average,11,1986,98199,47.6696,-122.416
190,2014-11-21,1335000,4,4,5050,202554,2,No,No View,Average,10,2000,98027,47.5269,-121.922
191,2014-12-18,1335000,4,2,2300,13342,2,Yes,Excellent,Average,7,1934,98125,47.7308,-122.282
192,2014-06-13,1335000,5,2,4200,5800,2,No,No View,Good,9,1906,98112,47.6284,-122.312
193,2014-11-13,1333000,4,4,3130,5126,3,No,No View,Average,10,2014,98112,47.6239,-122.29
194,2015-04-07,1330000,4,4,3440,9776,2,No,No View,Average,10,2006,98040,47.5374,-122.216
195,2014-06-25,1330000,3,2,1940,2885,2,No,Average,Average,8,1900,98119,47.6308,-122.369
196,2015-04-20,1328000,5,3,3340,10796,1,No,Average,Average,9,1964,98040,47.5421,-122.229
197,2015-03-24,1328000,4,2,3260,4640,2,No,No View,Very Good,9,1907,98112,47.6272,-122.312
198,2015-02-25,1326000,3,2,2960,8330,1,No,Good,Good,10,1953,98177,47.7035,-122.385
199,2014-07-29,1325000,3,4,6400,76665,1,No,Average,Good,10,1966,98177,47.7313,-122.37
200,2014-08-08,1325000,4,2,4010,37076,2,No,No View,Good,12,1990,98052,47.7139,-122.106
201,2014-06-12,1325000,5,2,3200,20158,1,No,No View,Average,8,1965,98004,47.6303,-122.215
202,2014-06-17,1325000,4,4,4420,16526,2,No,No View,Average,11,2013,98075,47.5914,-122.027
203,2014-07-10,1325000,6,4,5720,10213,2,No,No View,Average,10,2004,98006,47.5464,-122.116
204,2015-04-30,1325000,3,2,3590,8400,1,No,No View,Average,9,1958,98005,47.595,-122.173
205,2014-05-23,1325000,4,3,3370,7920,1,No,Good,Average,10,1988,98117,47.6773,-122.403
206,2014-06-20,1325000,4,2,2870,6280,2,No,No View,Good,9,1905,98112,47.6329,-122.31
207,2014-10-01,1325000,3,2,2360,5504,2,No,No View,Good,8,1913,98122,47.617,-122.288
208,2014-11-24,1325000,3,2,2280,5000,2,No,Good,Good,9,1926,98105,47.6574,-122.278
209,2014-08-11,1325000,4,3,2850,4800,2,No,No View,Very Good,10,1905,98112,47.6292,-122.312
210,2014-10-01,1325000,4,3,2470,4760,2,No,No View,Very Good,9,1906,98112,47.6331,-122.31
211,2015-03-06,1325000,4,4,2170,3672,2,No,No View,Average,9,1905,98115,47.6828,-122.329
212,2014-06-19,1325000,4,2,2440,3600,2,No,No View,Good,8,1902,98119,47.6298,-122.362
213,2015-02-23,1325000,3,3,3180,2758,2,No,Average,Average,11,2008,98109,47.6377,-122.342
214,2014-11-11,1324050,3,3,3440,4080,2,No,No View,Average,9,2005,98105,47.6644,-122.28
215,2014-08-25,1321620,5,3,2410,19447,2,No,Average,Average,10,1968,98040,47.5549,-122.211
216,2015-04-08,1321500,3,3,2230,12968,2,No,No View,Average,9,1990,98004,47.6271,-122.197
217,2014-12-19,1320000,3,2,2040,42693,1,No,Average,Average,10,1980,98052,47.6479,-122.12
218,2014-06-20,1320000,4,4,4410,36200,2,No,No View,Average,11,1989,98006,47.5487,-122.126
219,2014-07-25,1320000,3,3,2680,20104,1,No,No View,Very Good,9,1964,98039,47.6304,-122.234
220,2014-07-29,1320000,4,3,3470,11843,1,No,Good,Average,11,1989,98006,47.5513,-122.135
221,2014-11-17,1320000,4,5,6110,10369,2,No,No View,Average,11,2005,98059,47.5285,-122.135
222,2014-12-20,1320000,4,3,2120,3600,2,No,Good,Good,8,1908,98119,47.6344,-122.369
223,2015-02-13,1315000,5,4,4420,36342,2,No,No View,Very Good,10,1982,98007,47.6468,-122.151
224,2014-12-08,1315000,4,3,2860,10292,1,No,No View,Good,8,1953,98004,47.6286,-122.206
225,2014-09-24,1315000,4,2,3180,6105,2,No,No View,Average,10,1905,98112,47.6255,-122.314
226,2014-05-12,1315000,4,4,3460,3997,2,No,No View,Average,10,2004,98103,47.6718,-122.329
227,2015-02-20,1313000,6,3,2980,7200,2,No,Average,Average,8,1911,98119,47.6366,-122.362
228,2015-01-21,1312000,3,3,4030,6300,2,No,No View,Average,10,2006,98105,47.6664,-122.276
229,2014-11-17,1311000,4,4,3490,5625,2,No,No View,Average,9,2014,98103,47.6685,-122.332
230,2014-11-25,1310000,5,3,3650,16600,1,No,Good,Good,9,1978,98006,47.56,-122.144
231,2015-05-27,1310000,4,2,3750,5000,2,No,No View,Very Good,8,1924,98115,47.6747,-122.303
232,2015-01-21,1310000,2,2,3950,3938,2,No,Excellent,Average,10,1991,98116,47.5912,-122.384
233,2014-06-19,1309500,4,4,4750,13912,2,No,Average,Average,10,2005,98118,47.5332,-122.265
234,2014-06-30,1309500,4,2,2680,12215,1,Yes,Excellent,Average,9,1956,98166,47.4396,-122.353
235,2014-09-09,1308000,5,2,3200,7863,1,No,Good,Very Good,8,1959,98199,47.6398,-122.39
236,2014-05-08,1307000,5,3,2800,3200,2,No,No View,Very Good,10,1932,98109,47.6421,-122.35
237,2014-08-01,1306000,5,2,2770,8100,2,No,No View,Average,9,2002,98004,47.6341,-122.208
238,2015-04-27,1305000,4,4,3440,5000,2,No,No View,Average,11,2006,98199,47.6672,-122.409
239,2014-07-31,1305000,5,4,3270,4080,2,No,No View,Average,9,2011,98115,47.6754,-122.327
240,2015-04-23,1302000,4,4,3590,5334,2,No,Average,Average,9,2006,98115,47.6763,-122.267
241,2014-05-20,1300000,4,4,4380,74052,1,No,No View,Average,11,2001,98053,47.6587,-122.009
242,2015-03-02,1300000,5,2,4170,33310,2,No,No View,Good,11,1991,98006,47.5455,-122.126
243,2014-11-24,1300000,6,4,6563,32670,2,No,No View,Average,10,2002,98005,47.6078,-122.157
244,2014-07-02,1300000,4,2,2610,21600,1,No,No View,Good,8,1966,98004,47.6245,-122.227
245,2014-10-10,1300000,5,2,2130,19180,1,No,No View,Average,8,1968,98004,47.638,-122.213
246,2015-04-07,1300000,3,3,4120,16365,1,No,Average,Average,12,1999,98059,47.5265,-122.148
247,2015-02-25,1300000,3,2,2350,15021,1,No,No View,Good,8,1976,98004,47.6408,-122.219
248,2014-07-23,1300000,4,3,4120,14021,2,No,No View,Average,11,2005,98075,47.5985,-122.026
249,2015-01-12,1300000,4,2,3110,11857,2,No,Excellent,Average,11,1990,98117,47.6952,-122.402
250,2014-05-12,1300000,4,3,2330,9687,2,No,Good,Average,9,1918,98112,47.6264,-122.283
251,2015-03-16,1300000,3,1,2040,7936,1,No,Good,Very Good,8,1940,98177,47.7028,-122.385
252,2014-06-20,1300000,5,4,3366,7800,2,No,Average,Average,8,1937,98199,47.6466,-122.391
253,2014-07-25,1300000,3,2,3350,7752,1,No,No View,Average,9,2009,98008,47.6263,-122.099
254,2015-04-02,1300000,5,4,4450,7680,2,No,No View,Average,9,2010,98199,47.6418,-122.392
255,2014-07-15,1300000,5,1,1670,6400,2,No,No View,Average,8,1919,98119,47.6542,-122.373
256,2014-06-06,1300000,4,4,4270,6002,2,No,Good,Average,10,2004,98029,47.5443,-121.994
257,2014-11-13,1300000,3,3,3400,5979,2,No,No View,Good,9,1937,98105,47.6585,-122.273
258,2014-07-25,1300000,4,2,4060,5500,2,No,No View,Very Good,9,1924,98102,47.6437,-122.321
259,2014-10-02,1300000,4,2,3470,4160,2,No,No View,Average,9,1927,98119,47.63,-122.363
260,2014-07-07,1300000,4,2,2360,4000,2,No,No View,Average,9,2013,98112,47.6198,-122.289
261,2014-06-05,1300000,6,4,3902,3880,3,No,Excellent,Good,9,1977,98116,47.5837,-122.399
262,2014-08-05,1299890,5,4,3870,5929,2,No,No View,Average,10,2014,98052,47.6965,-122.134
263,2015-03-23,1298890,5,2,2690,10800,1,No,Good,Good,8,1956,98040,47.5821,-122.247
264,2014-06-03,1298000,4,4,2790,10125,2,No,No View,Very Good,8,1985,98040,47.5651,-122.22
265,2014-08-23,1298000,4,2,2860,5658,2,No,Good,Average,10,1933,98199,47.6395,-122.409
266,2014-07-01,1297000,6,3,2630,9420,2,No,No View,Very Good,9,1900,98103,47.6695,-122.337
267,2014-06-24,1295650,0,0,4810,28008,2,No,No View,Average,12,1990,98053,47.6642,-122.069
268,2015-03-12,1295000,4,4,3790,90169,2,No,No View,Average,11,1998,98053,47.6587,-122.022
